,region,day_of_week,hour,pred_demand,actual_demand,start_lat,start_lng
175,1,Monday,7,250.6023762988518,138.0,59.400913814017215,24.649877028970792
176,1,Monday,8,253.55671564081902,115.0,59.40333598178031,24.650876442222685
177,1,Monday,9,255.4544093938125,87.0,59.40368447817169,24.64913659723267
178,1,Monday,10,240.18175736923203,61.0,59.40124690959055,24.648593507969792
47,0,Monday,23,315.8112067504136,469.0,59.435552818748114,24.748520401244416
180,1,Monday,12,261.99568997086163,108.0,59.40647017847711,24.646564228413332
179,1,Monday,11,258.87432289608563,56.0,59.40343165924984,24.647979270996483
188,1,Monday,20,274.13125027877356,144.0,59.40216157667381,24.649676172520415
187,1,Monday,19,274.4145623435854,83.0,59.40654309828689,24.647910909163826
186,1,Monday,18,271.21452229967,110.0,59.40417943718864,24.644356785840852
185,1,Monday,17,266.30445883782994,115.0,59.39749571217615,24.644175171333984
189,1,Monday,21,275.8223906105783,103.0,59.40174989591543,24.6492564654767
183,1,Monday,15,265.8288084595673,154.0,59.403594795541615,24.646109676957252
182,1,Monday,14,264.0343091083761,126.0,59.404045196631394,24.644671494643646
181,1,Monday,13,252.05235580024024,124.0,59.40548846887985,24.648371113008505
184,1,Monday,16,267.81871399151356,180.0,59.405007108381405,24.641107509663406
493,3,Saturday,13,401.86777647160557,138.0,59.46028772924434,24.856858693597694
484,3,Saturday,4,384.61815802931443,57.0,59.45709456449966,24.87300444663795
485,3,Saturday,5,385.02678128585535,96.0,59.45476067690233,24.863791944509725
486,3,Saturday,6,389.1143459315734,120.0,59.460015364047436,24.863756007614445
487,3,Saturday,7,390.4123862988639,135.0,59.45882960177488,24.864308635741484
488,3,Saturday,8,393.13124681029575,114.0,59.46122134398405,24.863804866434897
489,3,Saturday,9,395.1066594522643,88.0,59.462537873144626,24.855675848912448
490,3,Saturday,10,399.10588016520376,80.0,59.46729631092914,24.858871379140318
491,3,Saturday,11,399.63378369651144,101.0,59.464566676089376,24.85568259176331
492,3,Saturday,12,401.44359719540404,117.0,59.4647698299412,24.85596176204916
646,4,Saturday,22,382.77830178468065,182.0,59.42348126599289,24.79993407354721
624,4,Saturday,0,346.0084408240199,44.0,59.42831861933235,24.79573122796555
495,3,Saturday,15,407.2543332665531,149.0,59.46571579594605,24.85556908703487
496,3,Saturday,16,408.8815628172605,165.0,59.465373565294264,24.85812955656745
497,3,Saturday,17,411.07483693007225,140.0,59.466309460269386,24.857458964261635
498,3,Saturday,18,412.36109802831413,135.0,59.4654628458475,24.85605606098144
499,3,Saturday,19,414.88216317046897,124.0,59.466980388336346,24.856973360628192
500,3,Saturday,20,415.7569587428892,136.0,59.464705118084815,24.85995228064203
501,3,Saturday,21,420.37670161380584,147.0,59.47128107264624,24.85764856045251
502,3,Saturday,22,401.0422797235711,124.0,59.4662635540466,24.86091672075125
503,3,Saturday,23,421.7939203086472,105.0,59.46629964401701,24.859347140907104
483,3,Saturday,3,384.3866008380513,37.0,59.46174050196349,24.8581436292252
494,3,Saturday,14,404.00792031777587,146.0,59.46257380857568,24.855825749033087
482,3,Saturday,2,380.71569933343744,24.0,59.45783550182128,24.85726883160187
481,3,Saturday,1,380.6685724207401,46.0,59.46152235170849,24.85794669050927
336,2,Saturday,0,370.86556376572753,132.0,59.422944189135364,24.70734423984611
627,4,Saturday,3,348.05998530113925,45.0,59.41981449310385,24.81096503519146
628,4,Saturday,4,353.122112786416,50.0,59.428488733159895,24.79513082903602
629,4,Saturday,5,352.1724524875644,105.0,59.42206996211422,24.80297812696218
630,4,Saturday,6,356.4475371084853,161.0,59.427429579239835,24.802570789513215
631,4,Saturday,7,357.5717092818117,176.0,59.42653544863203,24.80059283428736
632,4,Saturday,8,359.3981353762166,151.0,59.42616487550066,24.802124728843083
633,4,Saturday,9,361.8607798599225,124.0,59.42555886362227,24.801786805933087
634,4,Saturday,10,362.33748039224406,117.0,59.424826572761184,24.803433110739064
635,4,Saturday,11,363.8078403283463,130.0,59.42246231376582,24.802689988600296
636,4,Saturday,12,366.0276175506612,173.0,59.4255912622818,24.799380304739056
637,4,Saturday,13,367.7412869457269,203.0,59.42528287509979,24.800721764336974
638,4,Saturday,14,362.8206623394262,255.0,59.42375526091571,24.80030430431297
639,4,Saturday,15,371.62472886441464,266.0,59.42606970455746,24.801673221922076
640,4,Saturday,16,373.16204404223475,248.0,59.4260855882821,24.79853230053096
641,4,Saturday,17,375.2876204975544,234.0,59.4264863995707,24.798272717196784
642,4,Saturday,18,377.2802672305167,188.0,59.42654582914766,24.79907120978918
643,4,Saturday,19,378.1953162314105,123.0,59.425008761094155,24.800697673778064
644,4,Saturday,20,379.58757714676375,148.0,59.424216816774944,24.800684655602286
645,4,Saturday,21,381.0083310635161,181.0,59.42366706211313,24.800647471927704
626,4,Saturday,2,350.2777340645909,31.0,59.429249990551156,24.801884907050884
625,4,Saturday,1,348.9309777689846,29.0,59.43012717233892,24.8020427131977
480,3,Saturday,0,380.0569127822886,33.0,59.46329174203049,24.86292379235008
358,2,Saturday,22,409.22423118186606,341.0,59.422396732547185,24.706017374094415
337,2,Saturday,1,370.46778589061637,110.0,59.4193942722329,24.707242334608516
338,2,Saturday,2,374.2796028528436,71.0,59.422636564339676,24.707259660744157
339,2,Saturday,3,375.7347533812508,80.0,59.42228566879476,24.708832383283685
340,2,Saturday,4,376.26235389470145,142.0,59.41914324169823,24.708055428694244
341,2,Saturday,5,378.8385602041769,267.0,59.42150813456949,24.705659954202396
342,2,Saturday,6,381.7031868339963,437.0,59.42231586374124,24.708919025459974
343,2,Saturday,7,372.93783518279724,472.0,59.41937923851681,24.70762269001589
344,2,Saturday,8,383.90018270646436,376.0,59.42068806971001,24.708333832342785
